Timestamp,User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
9/3/2023 10:00,User_1,Video_Call,-75 dBm,30 ms,10 Mbps,15 Mbps,70%
9/3/2023 10:00,User_2,Voice_Call,-80 dBm,20 ms,100 Kbps,120 Kbps,80%
9/3/2023 10:00,User_3,Streaming,-85 dBm,40 ms,5 Mbps,6 Mbps,75%
9/3/2023 10:00,User_4,Emergency_Service,-70 dBm,10 ms,1 Mbps,1.5 Mbps,90%
9/3/2023 10:00,User_5,Online_Gaming,-78 dBm,25 ms,2 Mbps,3 Mbps,85%
9/3/2023 10:00,User_6,Background_Download,-90 dBm,50 ms,500 Kbps,550 Kbps,70%
9/3/2023 10:00,User_7,Web_Browsing,-88 dBm,30 ms,1 Mbps,1 Mbps,60%
9/3/2023 10:00,User_8,IoT_Temperature,-95 dBm,100 ms,10 Kbps,15 Kbps,50%
9/3/2023 10:00,User_9,Video_Streaming,-82 dBm,35 ms,3 Mbps,3.5 Mbps,80%
9/3/2023 10:00,User_10,File_Download,-75 dBm,45 ms,2 Mbps,2 Mbps,70%
9/3/2023 10:00,User_11,Video_Call,-76 dBm,32 ms,12 Mbps,14 Mbps,70%
9/3/2023 10:00,User_12,Online_Gaming,-79 dBm,24 ms,2.5 Mbps,2.8 Mbps,75%
9/3/2023 10:00,User_13,Web_Browsing,-87 dBm,28 ms,1.2 Mbps,1.2 Mbps,65%
9/3/2023 10:00,User_14,VoIP_Call,-81 dBm,22 ms,150 Kbps,170 Kbps,85%
9/3/2023 10:00,User_15,Video_Call,-74 dBm,29 ms,10 Mbps,12 Mbps,60%
9/3/2023 10:00,User_16,Streaming,-84 dBm,38 ms,4.5 Mbps,5 Mbps,70%
9/3/2023 10:00,User_17,Emergency_Service,-69 dBm,9 ms,1.2 Mbps,1.3 Mbps,80%
9/3/2023 10:00,User_18,Background_Download,-91 dBm,48 ms,600 Kbps,600 Kbps,55%
9/3/2023 10:00,User_19,IoT_Temperature,-96 dBm,105 ms,8 Kbps,9 Kbps,70%
9/3/2023 10:00,User_20,Video_Streaming,-83 dBm,34 ms,3.2 Mbps,3.5 Mbps,75%
9/3/2023 10:00,User_21,Video_Call,-77 dBm,31 ms,11 Mbps,13 Mbps,75%
9/3/2023 10:00,User_22,Online_Gaming,-80 dBm,23 ms,2.2 Mbps,2.5 Mbps,80%
9/3/2023 10:00,User_23,Web_Browsing,-86 dBm,29 ms,1.4 Mbps,1.4 Mbps,70%
9/3/2023 10:00,User_24,VoIP_Call,-82 dBm,21 ms,160 Kbps,180 Kbps,90%
9/3/2023 10:00,User_25,Video_Call,-73 dBm,28 ms,10.5 Mbps,12.5 Mbps,75%
9/3/2023 10:00,User_26,Streaming,-83 dBm,37 ms,4.2 Mbps,4.8 Mbps,85%
9/3/2023 10:00,User_27,Emergency_Service,-68 dBm,8 ms,1.1 Mbps,1.2 Mbps,70%
9/3/2023 10:00,User_28,Background_Download,-92 dBm,47 ms,620 Kbps,620 Kbps,60%
9/3/2023 10:00,User_29,IoT_Temperature,-97 dBm,110 ms,7 Kbps,8 Kbps,65%
9/3/2023 10:00,User_30,Video_Streaming,-84 dBm,33 ms,3.4 Mbps,3.7 Mbps,70%
9/3/2023 10:00,User_31,Video_Call,-78 dBm,30 ms,10.2 Mbps,12.2 Mbps,75%
9/3/2023 10:00,User_32,Online_Gaming,-79 dBm,24 ms,2.3 Mbps,2.6 Mbps,80%
9/3/2023 10:00,User_33,Web_Browsing,-88 dBm,27 ms,1.3 Mbps,1.3 Mbps,70%
9/3/2023 10:00,User_34,VoIP_Call,-83 dBm,20 ms,170 Kbps,190 Kbps,90%
9/3/2023 10:00,User_35,Video_Call,-72 dBm,27 ms,10.8 Mbps,12.8 Mbps,75%
9/3/2023 10:00,User_36,Streaming,-82 dBm,36 ms,4.0 Mbps,4.6 Mbps,85%
9/3/2023 10:00,User_37,Emergency_Service,-67 dBm,7 ms,1.0 Mbps,1.1 Mbps,70%
9/3/2023 10:00,User_38,Background_Download,-93 dBm,46 ms,630 Kbps,630 Kbps,60%
9/3/2023 10:00,User_39,IoT_Temperature,-98 dBm,105 ms,6 Kbps,7 Kbps,65%
9/3/2023 10:00,User_40,Video_Streaming,-85 dBm,32 ms,3.5 Mbps,3.8 Mbps,70%
